full_text,sentimen
Yaa semua produsen mobil listrik akan masuk lah bos...wong Produsenya dapat SUBSIDI??????,Negatif
presiden pak jokowi luar biasa kecerdasan dn prestasi nya bisa menarik prusahaan2 luar untuk mengenjot ekonomi negara dn membukak lapagan krja yg besar buat rakyat indonesia nanti nya,Positif
Kalo menurut saya lebih baik subsidi diprioritaskan untuk motor dan mobil BBM agar lebih terjangkau Masyarakat umum.karena selain sudah teruji kwalitas nya mesin BBM juga sudah familiar daripada membeli ev yg gampang Soak baterai nya juga ribet harus ngecas puluhan jam.pada dasarnya dinamo itu bukan untuk kendaraan karena gak bertenaga dan lebih cocok untuk bikin kipas angin.,Netral
APAPUN KEBIJAKANNYA YG TERPENTING JANGAN ADA YG JADI KAKI TANGAN PENJAJAH..BERSATU UTK NKRI MAJU,Netral
KALO CUMA MIMPI SIH BOLEH LAH....JANGANKAN MOBIL LISTRIK...MOBIL BIASA AJA KITA KAGAK BISA BIKIN KOQ....DULU ADA PROGRAM MOBNAS TIMOR....EHH TAPI TERNYATA TETAP BIKINNYA DI KOREA....BUKAN DI INDONESIA....SAAT INI SANTER TEDENGAR MOBIL ESEMKA....EHH TERNYATA BIKINNYA JUGA DI CHINA ...BUKAN DI INDONESIA...,Netral
Semoga limbah dari pembuatan baterai di Indonesia ini tidak ada korban aamiin,Netral
Mantap pak jokowi...saat nya indonesia penguasa industri modern,Positif
"Rakyat harus bersatu , kita sudah lama dijajah , saat kita mau maju kok ada yg menghalangi kemajuan negara kita , kita harus siap berdarah, jgn biarkan organisasi preman dunia memaksa maksa negara kita.",Positif
"Selain fisik mobil listrik terutama bangun dulu pabrik Motor / Generator listrik berbagai ukuran, karena dengan Motor/Genenator listrik ini masyarakat bisa berkreasi dalam mewujudkan Technologi tepat guna baik di Pertanian, Rumah tangga serta Industri - Industri kecil.",Netral
"Maju terus, jangan mundur, kita akan maju , inshaAllah",Positif
Pak presiden..... Keliatannya kita mampu Lo mbuat kendaraan listrik.... Tinggal gimana caranya ada regulasi yang mengatur ini..... Kita bisa berdikari.,Positif
Saya sangat senang dengan program pemerintah hilirisasi semoga pemerintah lebih banyak membangun pembangkit listrik hingga mencukupi konsumsi mobil listrik,Positif
Orang Indonesia ada tuh yang bikin mobil listrik cuman ga di hargain giliran mobil listrik luar negri datang ke Indonesia di hargai nya minta apuuun.,Negatif
Apakah harga motor sama baterai nya sama harganya,Netral
Berapa kalo ganti baterai kalo seandainya rusak,Netral
