full_text,sentimen
produsen kendara listrik produsen subsidi,Negatif
presiden cerdas prestasi tarik genjot negara lapang rakyat,Positif
subsidi prioritas motor kendara jangkau masyarakat kualitas mesin beli electric vehicle gampang soak baterai puluh kendara tenaga kipas,Netral
kaki tangan maju,Netral
mimpi kendara listrik kendara program mobil nasional senter kendara,Netral
limbah baterai korban,Netral
mantap kuasa industri modern,Positif
rakyat maju maju negara organisasi preman paksa maksa negara,Positif
kendara listrik pabrik motor generator listrik motor generator listrik masyarakat kreasi wujud teknologi tani rumah tangga industri industri,Netral
maju mundur maju,Positif
presiden liat kendara listrik regulasi berdikari,Positif
senang program perintah perintah listrik konsumsi kendara listrik,Positif
kendara listrik gilir kendara listrik negeri,Negatif
motor baterai,Netral
ganti baterai rusak,Netral
baterai rusak ganti baterai kendara,Netral
tani sawit kendara listrik narik sawit lumpur,Netral
hyundai keren selatan mantap,Positif
juang presiden teror negeri,Positif
maju,Positif
presiden maju,Positif
baterai mahal,Netral
gara gara presiden nikel negara maju,Positif
lapang kuliah harap lulus sulit keluarga,Positif
macet total kendara stress sulit nafkah,Negatif
infrastruktur jebak lobang ganti motor listrik mesin muat admin muat kuat otomatis mangkrak,Negatif
batu kabar limbah rakyat,Negatif
kabar kendara listrik selo negeri,Netral
solar bensin sulit masyarakat kendara listrik,Netral
negara,Negatif
baterai kendara beli,Negatif
perintah nyaring kendara listrik kompeten pajak negara sejahtera kaji salary relevan kerja sama,Positif
berita,Netral
mudah negara produsen kendara negara minyak gelontor krisis mangkrak zaman,Negatif
negara maju jaya negeri rakyat makmur sejahtera,Positif
nikel baterai kendara listrik rusak,Negatif
niat lapang jarang servis bengkel susah jual,Netral
produsen kendara listrik produksi mobil listrik,Netral
kendara listrik produsen kendara listrik,Positif
terima kasih presiden taring papar keren mudah realisasi kadang lapang kendara listrik muncul pom bensin pom bensin pom bensin rem motor kendara listrik,Positif
listrik karyawan,Positif
mobil pakai listrik batu,Netral
kendara listrik karya kunjung lolos emisi karya tel muncul kendara negara tetangga,Positif
rencana maju negara pikir nikel,Netral
pakai listrik tahan listrik teknologi listrik modal kelola listrik kuasa sabotase kutik listrik subsidi negara mudah,Netral
