Feature,Information_Gain
acak,0.0004402764674107922
accounted,0.0001882094419438352
action,0.00033627865634686376
acuh,0.0001882094419438352
ada,0.00012990965976296658
adab,0.00033627865634686376
adakan,8.534794684404365e-05
adalagi,0.00022932202116135838
adalah,0.00022932202116135838
adam,0.00037648743362983126
adaptasi,0.00030342914282537005
adas,0.00022932202116135838
adat,0.0004402764674107922
adem,0.00037648743362983126
adik,0.00045873618032261313
adikuasa,0.00043914015144671083
adil,0.0012044418680815776
adira,0.00037648743362983126
admin,0.001065328877739805
administrator,0.00022932202116135838
adrenalin,0.00033627865634686376
adsen,0.0001882094419438352
aduh,0.0007593982815898687
akademik,0.00043914015144671083
akal,0.0025293235507635827
akan,0.00021703051773473703
akar,0.00045873618032261313
aki,0.0001636481412534889
akibat,0.0002585044731866883
akselerasi,0.0007532492762904377
akselerator,0.0001882094419438352
akses,0.0003880885975716226
aksesibilitas,0.00037648743362983126
aksi,0.0001882094419438352
aktif,0.00033671596660305846
aktivitas,8.942034680486303e-05
akua,0.00022932202116135838
akuin,0.0001882094419438352
akuisisi,0.0009417332324515751
akumulator,0.0001882094419438352
akun,0.0006882425571326616
akut,0.00045873618032261356
apa,0.00014820959043265703
aparat,8.534794684404365e-05
aparatur,0.0001882094419438352
apartemen,8.534794684404365e-05
apbd,0.00022932202116135838
apbn,0.00034493868544737023
aplikasi,0.0011811136259373604
apm,0.00022932202116135838
apple,0.00037648743362983083
appreciative,0.0001882094419438352
apresiasi,0.0003624673741535109
april,0.0005230998135931691
argumen,0.00045873618032261356
argumentku,0.00022932202116135838
atik,0.00022932202116135838
atmosfer,0.0001882094419438352
atmosfir,0.0001882094419438352
atom,0.00043914015144671083
bappenda,0.0001882094419438352
barang,0.0022381925886478284
barangkali,0.00037648743362983126
baranngnya,0.00022932202116135838
barat,0.0001122458183215316
batas,0.0011239712020681158
batasin,0.0008785820794104753
baterai,0.0017866190360701245
batik,0.00037648743362983126
batronika,0.00022932202116135838
battey,0.00043914015144671083
batu,0.005274867958078252
batubara,0.00289371258119909
batubaranya,0.00045873618032261356
bau,0.000678712892905831
bauksit,0.00022932202116135838
